
( 2017-05-21 16:02:40 (MSK) ) Выброшено исключение: SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
( 2017-05-21 16:02:40 (MSK) ) Выброшено исключение: SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
( 2017-05-21 17:56:01 (MSK) ) Сработала функция exceptionCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: Imagine\Exception\RuntimeException; Информация об ошибке: Imagick not installed; Файл: D:\OpenServer\domains\pot2\vendor\imagine\imagine\lib\Imagine\Imagick\Imagine.php; Строка: 36
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Jason/46121_1337181373-84255600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Jason/47191_Jason-Oral-Care-Sea-Fresh-Strengthening-Sea-Peppermint-Mouthwashes-16oz-211227-Front_21.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Jason/48156_jasonseafresh.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Jason/4912_PowerSmileFluorideFreeGeo4oz_2__63376.1427301380.1280.1280.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Oral-B/50664_377932772.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/NSK/51314_NSK-Contre-angle-inox-EX-MPA-ER64-avec-spray-externe-ref-Y110144_large_98845409-d24d-4423-a438-2b6ae9df7a67.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/NSK/52148_er4_hvostovik_nakonechnika_e4r_s_peredachey_vrascheniya_4_1_565-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/NSK/53389_b54.png): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/MedicNRG/542_gentlefile-medicnrg-izrail-3591-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Uncategorized/55574_gentlefile-medicnrg-izrail-a17402-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:01 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/NSK/56431_tepy.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:02 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Yumaki/57503_yumaki_toothbrushes_5.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
